"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","season_num","round_id"
"CD_I1017304","Ashanti Bush",37300,-1300,6900,12200,17600,21900,2024,9,1
"CD_I1021929","Keely Fullerton",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1022192","Meara Girvan",88800,-9200,1500,6900,12200,16500,2024,9,1
"CD_I1022701","Alana Gee",79700,-8300,2400,7800,13200,17500,2024,9,1
"CD_I1024541","Sienna McMullen",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1026001","Cara McCrossan",43400,-4500,6200,11600,17000,21300,2024,9,1
"CD_I1035370","Taya Oliver",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1038793","Lauren McConville",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1006666","Sarah Hosking",103400,-10800,0,5300,10700,15000,2024,9,1
"CD_I1007327","Montana McKinnon",107300,-11200,-400,4900,10300,14600,2024,9,1
"CD_I1012647","Tamara Luke",100900,-10500,200,5600,11000,15300,2024,9,1
"CD_I1015056","Amelia Peck",63600,-6600,4100,9500,14900,19200,2024,9,1
"CD_I1018403","Eilish Sheerin",151400,-15800,-5000,300,5700,10000,2024,9,1
"CD_I1021529","Tessa Lavey",60300,-6300,4500,9800,15200,19500,2024,9,1
"CD_I1026531","Charli Wicksteed",62800,-6500,4200,9600,14900,19200,2024,9,1
"CD_I1031398","Isabel Bacon",42000,-4400,6400,11700,17100,21400,2024,9,1
"CD_I1031412","Mackenzie Ford",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1031857","Shelby Knoll",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1033348","Imogen Brown",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I997743","Katelyn Cox",68300,-7100,3600,9000,14400,18700,2024,9,1
"CD_I1009893","Matilda Sergeant",43500,-4500,6200,11600,17000,21200,2024,9,1
"CD_I1009907","Roxanne Roux",82900,-8600,2100,7500,12800,17100,2024,9,1
"CD_I1014764","Octavia Di Donato",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1017342","Sophie McDonald",46400,-4800,5900,11300,16600,20900,2024,9,1
"CD_I1021397","Jayme Harken",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1021415","Courtney Rowley",96300,-10000,700,6100,11500,15700,2024,9,1
"CD_I1022133","Annabel Johnson",72200,-7500,3200,8600,14000,18300,2024,9,1
"CD_I1022818","Sarah Lakay",107700,-11200,-500,4900,10300,14600,2024,9,1
"CD_I1025526","Kayley Kavanagh",41000,-4300,6500,11800,17200,21500,2024,9,1
"CD_I1026143","Emily Elkington",52800,-5500,5200,10600,16000,20300,2024,9,1
"CD_I1026165","Mackenzie Webb",43300,-4500,6200,11600,17000,21300,2024,9,1
"CD_I998032","Emma Swanson",196600,-20500,-9700,-4400,1000,5300,2024,9,1
"CD_I998156","Dana Hooker",151700,-15800,-5100,300,5700,10000,2024,9,1
"CD_I1007025","Natalie Plane",76100,-7900,2800,8200,13600,17900,2024,9,1
"CD_I1007137","Nat Exon",127900,-13300,-2600,2800,8200,12500,2024,9,1
"CD_I1009867","Georgia Patrikios",141300,-14700,-4000,1400,6800,11100,2024,9,1
"CD_I1015163","Kiera Whiley",45000,-4700,6100,11400,16800,21100,2024,9,1
