"player_id","Name","Team","LiveScore","LiveTog","Playing","season_num","RoundID","score_column","PlayerIcon","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"CD_I1009977","Kerryn Peterson","CAR",41,83,1,9,2,"LIVE",0,1,5,7,0,3,0,0,0,0,0,83
"CD_I1015047","Mimi Hill","CAR",63,82,0,9,1,"LAST",0,1,4,18,1,3,0,0,0,0,0,82
"CD_I1015047","Mimi Hill","CAR",64,87,1,9,2,"LIVE",0,1,13,10,2,1,0,1,2,0,0,87
"CD_I1019736","Yasmin Duursma","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019736","Yasmin Duursma","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1022236","Jessica Good","CAR",40,61,0,9,1,"LAST",0,1,2,3,0,2,20,0,0,0,0,61
"CD_I1022236","Jessica Good","CAR",58,68,1,9,2,"LIVE",0,1,5,10,2,0,13,4,0,0,0,68
"CD_I1021851","Lulu Beatty","CAR",25,77,0,9,1,"LAST",0,1,3,4,0,2,0,0,0,0,0,77
"CD_I1021851","Lulu Beatty","CAR",23,67,1,9,2,"LIVE",0,1,3,3,1,2,0,0,1,0,0,67
"CD_I1016940","Marianna Anthony","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1016940","Marianna Anthony","CAR",56,69,1,9,2,"LIVE",0,1,6,6,1,4,0,1,0,1,0,69
"CD_I1025494","Meg Robertson","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1025494","Meg Robertson","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1007023","Breann Moody","CAR",68,88,0,9,1,"LAST",0,1,7,3,1,4,19,3,0,0,0,88
"CD_I1007023","Breann Moody","CAR",56,83,1,9,2,"LIVE",0,1,5,8,3,0,9,1,0,1,0,83
"CD_I1033158","Dayna Finn","CAR",44,75,0,9,1,"LAST",0,1,6,4,3,2,0,1,0,0,0,75
"CD_I1033158","Dayna Finn","CAR",77,82,1,9,2,"LIVE",0,1,8,9,7,3,0,1,0,0,1,82
"CD_I1009888","Madeleine Guerin","CAR",44,68,0,9,1,"LAST",0,1,8,3,0,4,0,1,1,0,0,68
"CD_I1009888","Madeleine Guerin","CAR",75,58,1,9,2,"LIVE",0,1,10,2,1,7,0,1,0,1,3,58
"CD_I1033159","Erone Fitzpatrick","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1033159","Erone Fitzpatrick","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1025995","Lily Goss","CAR",52,79,0,9,1,"LAST",0,1,6,5,2,4,0,2,0,0,0,79
"CD_I1025995","Lily Goss","CAR",44,69,1,9,2,"LIVE",0,1,6,5,3,3,0,0,2,0,1,69
"CD_I1007152","Harriet Cordner","CAR",32,98,0,9,1,"LAST",0,1,6,5,2,1,0,0,2,0,0,98
"CD_I1007152","Harriet Cordner","CAR",49,100,1,9,2,"LIVE",0,1,10,6,3,1,0,0,2,0,0,100
"CD_I1025564","Mia Austin","CAR",38,84,0,9,1,"LAST",0,1,4,6,0,1,0,0,1,2,1,84
"CD_I1025564","Mia Austin","CAR",31,86,1,9,2,"LIVE",0,1,3,2,0,4,1,1,2,1,0,86
"CD_I1021924","Lila Keck","CAR",24,64,0,9,1,"LAST",0,1,5,4,1,0,0,1,1,0,0,64
"CD_I1021924","Lila Keck","CAR",24,56,1,9,2,"LIVE",0,1,2,7,0,1,0,0,0,0,0,56
"CD_I1019819","Brooke Vickers","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019819","Brooke Vickers","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019711","Keeley Sherar","CAR",69,75,0,9,1,"LAST",0,1,8,11,0,6,0,2,3,1,0,75
"CD_I1019711","Keeley Sherar","CAR",91,83,1,9,2,"LIVE",0,1,15,4,3,7,0,3,1,0,1,83
"CD_I1014873","Tarni Brown","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1014873","Tarni Brown","CAR",30,63,1,9,2,"LIVE",0,1,5,4,1,2,0,1,2,0,1,63
"CD_I1010243","Gen Lawson-Tavan","CAR",49,78,0,9,1,"LAST",0,1,4,6,0,6,0,1,0,0,0,78
"CD_I1010243","Gen Lawson-Tavan","CAR",37,89,1,9,2,"LIVE",0,1,6,5,0,2,0,1,0,0,0,89
"CD_I1019489","Jade Halfpenny","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019489","Jade Halfpenny","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1029627","Taylor Ortlepp","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1029627","Taylor Ortlepp","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1014373","Ciara Fitzgerald","CAR",36,78,0,9,1,"LAST",0,1,2,5,0,5,0,0,0,0,0,78
"CD_I1014373","Ciara Fitzgerald","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1022744","Madeline Hendrie","CAR",49,80,0,9,1,"LAST",0,1,5,1,1,7,0,1,0,0,0,80
"CD_I1022744","Madeline Hendrie","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1003019","Sabrina Frederick","COL",118,94,0,9,1,"LAST",0,1,17,4,5,5,25,2,1,0,0,94
"CD_I1003019","Sabrina Frederick","COL",92,84,1,9,2,"LIVE",0,1,12,6,5,3,13,1,1,1,0,84
"CD_I1015070","Eliza James","COL",35,84,0,9,1,"LAST",0,1,7,1,2,1,0,1,0,0,1,84
"CD_I1015070","Eliza James","COL",31,88,1,9,2,"LIVE",0,1,6,3,1,1,0,0,0,0,0,88
"CD_I1003020","Brianna Davey","COL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1003020","Brianna Davey","COL",61,81,1,9,2,"LIVE",0,1,7,7,0,6,0,4,1,0,1,81
"CD_I1022112","Imogen Barnett","COL",40,83,0,9,1,"LAST",0,1,4,2,2,3,5,2,1,0,2,83
"CD_I1022112","Imogen Barnett","COL",41,71,1,9,2,"LIVE",0,1,6,1,2,1,13,0,1,0,1,71
"CD_I1015195","Annie Lee","COL",40,77,0,9,1,"LAST",0,1,4,1,3,4,0,1,0,0,0,77
"CD_I1015195","Annie Lee","COL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1021457","Imogen Evans","COL",25,47,0,9,1,"LAST",0,1,6,1,0,1,0,1,0,0,0,47
"CD_I1021457","Imogen Evans","COL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I997736","Jordyn Allen","COL",25,95,0,9,1,"LAST",0,1,6,0,3,1,0,0,2,0,0,95
"CD_I997736","Jordyn Allen","COL",63,94,1,9,2,"LIVE",0,1,10,3,5,3,0,0,0,0,0,94
"CD_I1013706","Sarah Rowe","COL",59,91,0,9,1,"LAST",0,1,15,1,2,2,0,0,3,1,1,91
"CD_I1013706","Sarah Rowe","COL",86,100,1,9,2,"LIVE",0,1,18,6,1,4,0,1,0,0,0,100
"CD_I997729","Brittany Bonnici","COL",83,84,0,9,1,"LAST",0,1,19,5,1,4,0,3,2,0,0,84
"CD_I997729","Brittany Bonnici","COL",120,80,1,9,2,"LIVE",0,1,13,14,5,10,0,1,1,0,0,80
"CD_I1015053","Alana Porter","COL",38,81,0,9,1,"LAST",0,1,4,3,2,2,0,0,0,1,0,81
"CD_I1015053","Alana Porter","COL",27,92,1,9,2,"LIVE",0,1,3,5,1,1,0,1,0,0,0,92
"CD_I1035374","Muireann Atkinson","COL",26,58,0,9,1,"LAST",0,1,6,0,2,2,0,0,2,0,0,58
"CD_I1035374","Muireann Atkinson","COL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019817","Charlotte Taylor","COL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019817","Charlotte Taylor","COL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1007015","Stacey Livingstone","COL",41,82,0,9,1,"LAST",0,1,7,0,3,1,0,0,0,1,1,82
"CD_I1007015","Stacey Livingstone","COL",47,77,1,9,2,"LIVE",0,1,10,0,3,2,0,0,0,0,0,77
"CD_I1017029","Grace Campbell","COL",48,78,0,9,1,"LAST",0,1,5,4,1,4,0,2,1,1,1,78
"CD_I1017029","Grace Campbell","COL",60,78,1,9,2,"LIVE",0,1,10,3,1,6,0,0,3,1,0,78
"CD_I1017238","Aishling Sheridan","COL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1017238","Aishling Sheridan","COL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1005663","Erica Fowler","COL",20,44,0,9,1,"LAST",0,1,2,3,1,2,0,0,1,0,0,44
"CD_I1005663","Erica Fowler","COL",12,48,1,9,2,"LIVE",0,1,1,1,0,2,0,1,1,0,1,48
"CD_I1013513","Sarah Sansonetti","COL",38,76,0,9,1,"LAST",0,1,3,2,1,6,0,1,1,0,0,76
"CD_I1013513","Sarah Sansonetti","COL",33,72,1,9,2,"LIVE",0,1,4,4,0,3,0,1,0,0,0,72
"CD_I1010102","Nell Morris-Dalton","COL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1010102","Nell Morris-Dalton","COL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1007027","Ruby Schleicher","COL",56,95,0,9,1,"LAST",0,1,12,3,4,1,0,0,1,0,1,95
"CD_I1007027","Ruby Schleicher","COL",56,87,1,9,2,"LIVE",0,1,7,8,3,3,0,1,1,0,0,87
